year,state_fips,county_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1993,08,067,468,38707667,423,36571990,20,906515,4,200000,21,1029162,census_bps_county
1993,08,069,2618,235139338,2274,221836133,42,2489727,76,3042266,226,7771212,census_bps_county
1993,08,071,45,2786381,45,2786381,0,0,0,0,0,0,census_bps_county
1993,08,073,23,1167000,7,667000,0,0,0,0,16,500000,census_bps_county
1993,08,075,12,1119400,12,1119400,0,0,0,0,0,0,census_bps_county
1993,08,077,791,65814273,773,64981853,12,679924,0,0,6,152496,census_bps_county
1993,08,079,17,703730,17,703730,0,0,0,0,0,0,census_bps_county
1993,08,081,15,1428369,15,1428369,0,0,0,0,0,0,census_bps_county
1993,08,083,80,3705581,39,2550981,12,367600,0,0,29,787000,census_bps_county
1993,08,085,257,13892169,213,12167799,32,995635,6,342735,6,386000,census_bps_county
1993,08,087,56,4685374,56,4685374,0,0,0,0,0,0,census_bps_county
1993,08,089,20,1343761,12,1043761,0,0,0,0,8,300000,census_bps_county
1993,08,091,70,10069797,57,9169955,0,0,7,516200,6,383642,census_bps_county
1993,08,093,298,20012490,289,19725774,0,0,3,36600,6,250116,census_bps_county
1993,08,095,9,538248,9,538248,0,0,0,0,0,0,census_bps_county
1993,08,097,156,68661329,115,59519425,4,1260000,12,2419860,25,5462044,census_bps_county
1993,08,099,3,249423,3,249423,0,0,0,0,0,0,census_bps_county
1993,08,101,393,43318690,379,42670106,6,388584,8,260000,0,0,census_bps_county
1993,08,103,22,1131500,22,1131500,0,0,0,0,0,0,census_bps_county
1993,08,105,33,2264598,31,2214598,2,50000,0,0,0,0,census_bps_county
1993,08,107,287,41230415,220,33120825,44,5790268,3,274322,20,2045000,census_bps_county
1993,08,109,4,376044,4,376044,0,0,0,0,0,0,census_bps_county
1993,08,111,7,699012,7,699012,0,0,0,0,0,0,census_bps_county
1993,08,113,220,50645384,126,35623698,26,5723254,4,359474,64,8938958,census_bps_county
1993,08,115,2,157000,2,157000,0,0,0,0,0,0,census_bps_county
1993,08,117,444,70652831,327,59886607,28,3659360,21,2884482,68,4222382,census_bps_county
1993,08,119,200,12235624,188,11591902,0,0,12,643722,0,0,census_bps_county
1993,08,121,3,150000,3,150000,0,0,0,0,0,0,census_bps_county
1993,08,123,965,76179687,840,71216807,28,1622749,8,467138,89,2872993,census_bps_county
1993,08,125,8,483000,8,483000,0,0,0,0,0,0,census_bps_county
1994,08,001,3062,237089252,2531,210955106,6,294560,4,263605,521,25575981,census_bps_county
1994,08,003,45,3926213,33,2666213,0,0,0,0,12,1260000,census_bps_county
1994,08,005,4380,395463858,2342,284595151,6,655916,12,935084,2020,109277707,census_bps_county
1994,08,007,189,21351194,185,21195194,4,156000,0,0,0,0,census_bps_county
1994,08,009,7,254000,7,254000,0,0,0,0,0,0,census_bps_county
1994,08,011,12,595000,12,595000,0,0,0,0,0,0,census_bps_county
1994,08,013,2623,293429097,2211,273195874,52,2658599,41,2371361,319,15203263,census_bps_county
1994,08,015,182,14486580,166,13499450,12,730764,4,256366,0,0,census_bps_county
1994,08,017,4,229000,4,229000,0,0,0,0,0,0,census_bps_county
1994,08,019,81,10372677,81,10372677,0,0,0,0,0,0,census_bps_county
1994,08,021,4,197586,2,157586,2,40000,0,0,0,0,census_bps_county
1994,08,025,1,60000,1,60000,0,0,0,0,0,0,census_bps_county
1994,08,027,87,8489982,87,8489982,0,0,0,0,0,0,census_bps_county
1994,08,029,57,3488251,55,3428251,2,60000,0,0,0,0,census_bps_county
1994,08,031,1841,107464573,544,56261601,40,4276300,3,188300,1254,46738372,census_bps_county
1994,08,033,5,487930,5,487930,0,0,0,0,0,0,census_bps_county
1994,08,035,4042,654890306,4024,653775937,18,1114369,0,0,0,0,census_bps_county
1994,08,037,1089,221220131,622,137639790,160,25335153,49,5109058,258,53136130,census_bps_county
1994,08,039,558,62867583,558,62867583,0,0,0,0,0,0,census_bps_county
1994,08,041,3806,351218915,3639,346368098,22,1539312,33,1376367,112,1935138,census_bps_county
1994,08,043,284,20420934,270,19678934,14,742000,0,0,0,0,census_bps_county
1994,08,045,540,48240590,453,43503660,8,679533,6,312504,73,3744893,census_bps_county
1994,08,047,58,4767780,58,4767780,0,0,0,0,0,0,census_bps_county
1994,08,049,276,24193572,202,19867354,0,0,29,1788012,45,2538206,census_bps_county
1994,08,051,328,35318260,245,30305394,22,2004241,3,262080,58,2746545,census_bps_county
1994,08,053,32,2596494,32,2596494,0,0,0,0,0,0,census_bps_county
1994,08,055,61,4162600,61,4162600,0,0,0,0,0,0,census_bps_county
1994,08,057,13,1414700,13,1414700,0,0,0,0,0,0,census_bps_county
